#,اسم الحالة,الشرط / المقياس,خطوة 1,خطوة 2,خطوة 3,خطوة 4,خطوة 5
1,Scale - Learning Phase,CPA ≤ 45 EGP + purchases < 50,CPA رابح لكن لسه في Learning Phase (purchases < 50). أي تعديل بيرجع العداد للصفر.,في Learning Phase: أي تعديل — حتى الميزانية بأكتر من 20% — بيُعيد العداد للصفر ويبدأ التعلم من جديد. الصبر دلوقتي هو الاستراتيجية الوحيدة.,بعد 50 تحويل: ابدأ رفع الميزانية 20% كل 48 ساعة. وفكّر تحوّل لـ CBO.,,
2,Scale - جاهز للتوسع,CPA ≤ 45 EGP + purchases >= 50,زود الميزانية 20% بالظبط كل 48 ساعة — مش 30% مش 50%.,للـ Scale الكبير: حوّل لـ Advantage+ Shopping Campaign (ASC).,لو CPA تجاوز 52 EGP بعد زيادة الميزانية — أوقف الزيادة وسيب الحملة تستقر يومين قبل أي قرار.,,
3,Scale - تحذير Frequency,CPA ≤ 45 EGP + purchases >= 50 + Frequency > 2.8,زود الميزانية 20% بالظبط كل 48 ساعة.,⚠️ Frequency عالية — جهّز كريتف بديل دلوقتي. لما يظهر Fatigue يكون الكريتف جاهز وتستبدله فوراً بدون إيقاف الحملة أو خسارة أي Learning.,,,
4,ميت Hook,فيديو موجود + Hook Rate < 15%,Hook Rate [X]% — من كل 100 شخص شاف الإعلان، [Y] شخص سكب قبل ما يعدي 3 ثواني. الـ Meta Algorithm يلاحظ نسبة الـ Skip ويرفع CPM تدريجياً.,أول 3 ثواني هي القرار الوحيد. Pattern Interrupt: وجه بنظرة مباشرة للكاميرا + سؤال مشكلة الجمهور في أول جملة، بدون Logo أو Intro.,جرّب UGC (Unboxing أو Testimonial حقيقي من عميل).,A/B Test: 3 إعلانات بـ Hook مختلف. كل Ad بميزانية 70 EGP/يوم، شغّل 3 أيام. الأعلى Hook Rate يكمل.,
5,إرهاق جمهور,Frequency > 2.5 + CTR هابط (النصف الثاني < 85% من النصف الأول),Frequency [X] مع CTR هابط — نفس الجمهور شاف إعلانك [X] مرة وبدأ يتجاهله. ده مش مشكلة في المنتج — مشكلة في تكرار التعرض وضيق Pool الجمهور.,الحل الأسرع: اعمل إعلان جديد خالص بزاوية بيعية مختلفة — مش تعديل، مش Thumbnail جديد، إعلان كامل بـ Hook مختلف. أضفه على نفس الـ Ad Set.,حوّل الـ Ad Set لـ Advantage+ Audience (Broad بدون أي تحديد) وخلّي Algorithm يلاقي جمهور جديد.,مش لازم توقف الحملة. أضف الكريتف الجديد وسيب الـ Ad Set يشتغل.,
6,Hook ضعيف,فيديو موجود + Hook Rate بين 15% و 25%,Hook Rate [X]% — أقل من المعيار (25%). من كل 100 مشاهد، [Y] شخص سكب في أول 3ث. Meta بيعاقب بزيادة CPM.,أعد تصوير أول 3 ثواني فقط — مش كل الإعلان. الكادر الأول: وجه إنسان + صوت عالي + مشكلة الجمهور بالاسم في أول جملة (بدون Logo أو Intro).,3 أنواع Hook الأقوى: (1) أنت لسه بتعمل [خطأ شائع]؟ (2) اكتشفنا إن [حقيقة غير متوقعة] (3) نتيجة مدهشة قبل شرح المنتج.,A/B Test: 3 Hooks مختلفين، كل Ad بـ 500 EGP إنفاق. الأعلى Hook Rate يكمل وتضاعف ميزانيته.,
7,CTR منخفض,CTR < 1% (مع Hook Rate >= 25%),Outbound CTR [X]% — الناس بتشوف الإعلان لكن مش بتضغط. المشكلة في الـ Offer أو الـ CTA — مش في الـ Hook.,اختبر CTAs مختلفة: بدل اطلب الآن / اشتري جرّب سؤال مباشر، أو شوف السعر، أو إضافة Scarcity حقيقية.,راجع الـ Offer نفسه: هل السعر ظاهر في الإعلان؟,تحقق من موضع الـ CTA في الفيديو — انقل الـ CTA للـ 30 ثانية الأولى وضعّها مرتين.,
8,مشكلة تقنية - LPR منخفض,CTR >= 1% + LPR < 70% (نقرات بدون وصول للصفحة),[X] شخص ضغط على الإعلان، وصل منهم [Y] للصفحة فقط (LPR [Z]%). ده مش مشكلة كريتف — ده موقع بطيء أو Pixel مش شغال.,افتح pagespeed.web.dev على رابط الإعلان من Mobile. لو Performance Score < 50 — الصفحة بطيئة وبتخسر نص النقرات.,ثبّت Meta Pixel Helper في Chrome وافتح الرابط. لازم يظهر PageView Event فوراً.,تحقق من إن الرابط مباشر بدون Redirects زيادة.,فكّر في Conversion API (CAPI): بيضيف 15-25% من الأحداث اللي Ad Blockers و iOS بتضيّعها.
9,صفحة هبوط ضعيفة,CR < 2% + LPV > 20 زيارة,[X] زيارة من Meta وصلت الصفحة، [Y] أوردر فقط (CR [Z]%). الكريتف والاستهداف مظبوطين، الصفحة هي المشكلة.,Screenshot من Android: زرّ الشراء والسعر لازم يكونوا Above the Fold. لو مخفيين — بتخسر 40-60% من الزوار.,3 عناصر Conversion فوق زرّ الشراء: (1) عدد الأوردرات (2) تقييم نجوم (3) ضمان صريح.,احذف أي Navigation Menu أو روابط خارجية من الصفحة.,جرّب دفع عند الاستلام كخيار إضافي. في مصر بيضاعف CR. اختبره لـ 72 ساعة.
10,مشكلة Pixel,purchases = 0 + spend > 100 EGP + CTR >= 1% + Hook Rate >= 25%,الكريتف جيد — الناس بتضغط ووصلوا للصفحة. لكن مفيش أوردر واحد مسجّل. 95% من الحالات دي مشكلة Pixel مش مشكلة حملة.,افتح Meta Events Manager > Test Events > ادخل رابط صفحة الشكر. لازم يظهر Purchase Event. لو مش بيظهر — الـ Pixel غايب من صفحة الشكر (Thank You Page).,اعمل شراء تجريبي حقيقي بنفسك وتابع الـ Events Manager في نفس الوقت.,تحقق من إن الـ Ad Set محسّن على Purchase Event وليس Add to Cart أو Initiate Checkout.,أضف Meta Conversions API (Server-Side) كطبقة إضافية فوق Browser Pixel.
