#,اسم الحالة,الشرط / المقياس,خطوة 1,خطوة 2,خطوة 3,خطوة 4
1,موقوف,spend = 0,مفيش إنفاق — تحقق من حالة الـ Ad Set والميزانية، وتأكد إنه Active ومش Paused.,,,
2,Scale - لسه بيتعلم,CPA ≤ 45 EGP + purchases < 10,CPA رابح لكن لسه في مرحلة التعلم (purchases < 10) — لا تعدّل شيء دلوقتي.,كل تعديل بيرجع عداد التعلم للصفر. سيب يشتغل يومين أكتر أولاً.,,
3,Scale - جاهز,CPA ≤ 45 EGP + purchases >= 10,زود ميزانية هذا الـ Ad Set بـ 20% كل 48 ساعة.,لا تلمس الـ Audience ولا الكريتف طالما CPA في المنطقة الرابحة.,احتاط بكريتف بديل جاهز في حالة ظهور Fatigue (Frequency > 2) — عشان تستبدل بدون توقف.,
4,أوقف - لا تحويلات + Pixel,purchases = 0 + spend > 150 EGP + CTR جيد + LPR جيد,[X] EGP إنفاق وصفر تحويلات. CTR وLPR معقولين — مشكلة Pixel مش كريتف.,افتح Events Manager > Test Events وتأكد إن Purchase Event بيوصل.,تحقق إن الـ Ad Set محسّن على Purchase وليس Add to Cart أو View Content.,
5,أوقف - لا تحويلات + كريتف,purchases = 0 + spend > 150 EGP + Hook Rate < 20%,[X] EGP إنفاق وصفر تحويلات. Hook Rate [Y]% منخفض جداً — الناس مش بتشوف الإعلان كفاية.,غيّر الكريتف قبل إعادة الإطلاق.,أوقف وحوّل الميزانية للـ Ad Set/Ad الأفضل أداءً.,
6,أوقف - لا تحويلات (عام),purchases = 0 + spend > 150 EGP,[X] EGP إنفاق وصفر تحويلات من هذا المستوى. كل جنيه بيتحرق هنا بدون عائد.,أوقف هذا المستوى فوراً. راجع الـ Audience (ممكن يكون ضيّق جداً أو غير مناسب) والـ Offer على الصفحة.,قبل إعادة الإطلاق: اعمل شراء تجريبي حقيقي وتحقق من إن Pixel بيسجّل الأوردر.,
7,أوقف - خسارة مؤكدة,CPA > 80 EGP,CPA [X] EGP — أعلى من حد الخسارة (80 EGP). كل أوردر بيكلفك خسارة مؤكدة.,أوقف هذا المستوى فوراً وحوّل ميزانيته للأفضل أداءً.,عند إعادة البناء: استخدم Advantage+ Audience (Broad). الكريتف هو الـ Targeting الحقيقي دلوقتي.,
8,ميت Hook,Hook Rate > 0 + Hook Rate < 15%,Hook Rate [X]% — من كل 100 مشاهد، [Y] شخص سكب قبل 3 ثواني. الـ Algorithm بيقلل Reach تدريجياً.,أعد تصوير أول 3 ثواني فقط بـ Pattern Interrupt: وجه بنظرة مباشرة للكاميرا + سؤال مشكلة الجمهور في أول جملة، بدون Intro.,جرّب صيغة UGC (Unboxing أو Testimonial حقيقي) — متوسط Hook Rate 25-40% مقارنة بـ 8-18% للإعلانات المنتجة.,
9,Hook ضعيف,Hook Rate بين 15% و 25%,Hook Rate [X]% — من كل 100 مشاهد، [Y] شخص سكب في أول 3ث. Meta بيعاقب الكريتف الضعيف بزيادة CPM تدريجياً.,أعد تصوير أول 3 ثواني بزاوية مختلفة خالص. جرّب سؤال مباشر، أو رقم صادم، أو نتيجة المنتج قبل تقديمه.,A/B Test رسمي: 3 إعلانات بـ Hook مختلف، 50 EGP/يوم لكل، 3 أيام. خذ الأفضل وأغلق الباقي.,
10,CTR منخفض,CTR < 1% (مع Hook Rate >= 25%),Outbound CTR [X]% — الناس بتشوف الإعلان لكن مش بتضغط. المشكلة في الـ Offer أو الـ CTA.,اختبر CTAs مختلفة: بدل اشتري الآن جرّب سؤال مباشر أو شوف الأسعار أو احجز نسختك.,A/B Test رسمي: 3 إعلانات بـ Hook مختلف، 50 EGP/يوم لكل، 3 أيام.,
11,مشكلة تقنية - LPR,LPR > 0 + LPR < 70%,[X] نقرة دفعت Meta ثمنها، وصل منهم [Y] للصفحة فقط (LPR [Z]%). ده مش كريتف، ده موقع بطيء أو Pixel غلط.,افتح PageSpeed Insights على رابط الإعلان من الموبايل. لو Performance < 50 — الصفحة بطيئة.,ثبّت Meta Pixel Helper Extension في Chrome وافتح الرابط. تأكد إن PageView Event بيطلع فوراً.,تحقق من إن الرابط مباشر — كل Redirect زيادة بيخسّر 5-10% من الزوار.
12,صفحة هبوط ضعيفة,CR < 2% + LPV > 10 زيارة,[X] زيارة وصلت الصفحة، [Y] أوردر فقط (CR [Z]%). الكريتف والاستهداف شغالين، الصفحة مش بتحوّل.,Screenshot من موبايل Android: هل زرّ الشراء والسعر ظاهرين Above the Fold؟ لو لأ — بتخسر 40-60% من الزوار.,أضف Social Proof فوري فوق الزرار: عدد الأوردرات أو تقييم نجوم 4.8+.,جرّب دفع عند الاستلام كخيار — في السوق المصري بيضاعف CR. اختبره 3 أيام.
13,يحتاج تحسين,CPA > 45 EGP (بعد كل الحالات اللي فوق),CPA [X] EGP — فوق الـ 45 المستهدف. الحملة مش خاسرة بس مش في نقطة الـ Scale بعد.,افتح Breakdown > Placement: هل Reels أو Feed أو Stories هو الأرخص CPA؟ حوّل الميزانية على الأكفأ.,حوّل لـ Advantage+ Audience (Broad بدون أي تحديد). بعد Andromeda، Algorithm بيلاقي المشترين من الـ Creative Signal.,لو التحويلات < 50 في 7 أيام — أنت لسه في Learning Phase. سيب يشتغل بدون تغيير يومين قبل أي قرار.
14,مقبول - Fallback,أي حالة تانية,الأرقام مقبولة على مستوى هذا الـ Ad/Ad Set. مفيش مشكلة واضحة.,افتح Breakdown > Age وشوف لو فيه شريحة عمرية بـ CPA أقل. اعمل لها Ad Set منفصل بميزانية أعلى.,,
